,well_index,area,eccentricity,major_axis_length,chip,day,major_axis_length_um
0,0,,,,Chip_1,1,
1,1,1210.0,0.9297453831378188,74.23760069266166,Chip_1,1,118.78016110825865
2,2,,,,Chip_1,1,
3,3,1841.0,0.5982611890625009,55.21784210896183,Chip_1,1,88.34854737433893
4,4,1636.0,0.6130229782859175,51.733892707318326,Chip_1,1,82.77422833170932
5,5,1493.0,0.6866009210271189,51.25401207539022,Chip_1,1,82.00641932062436
6,6,1663.0,0.7472211756606353,59.5520667041694,Chip_1,1,95.28330672667104
7,7,1674.0,0.5342832564681074,50.5265178737392,Chip_1,1,80.84242859798273
8,8,,,,Chip_1,1,
9,9,,,,Chip_1,1,
10,10,2263.0,0.8336459115467902,74.57673109253655,Chip_1,1,119.32276974805848
11,11,,,,Chip_1,1,
12,12,,,,Chip_1,1,
13,13,2036.0,0.6437008178141875,58.98584581151609,Chip_1,1,94.37735329842576
14,14,,,,Chip_1,1,
15,15,,,,Chip_1,1,
16,16,,,,Chip_1,1,
17,17,,,,Chip_1,1,
18,18,1822.0,0.7142535819665363,57.682125294392,Chip_1,1,92.2914004710272
19,19,1720.0,0.6935893821819702,55.748183452604344,Chip_1,1,89.19709352416696
20,20,3994.0,0.944072030499718,161.55055823326282,Chip_1,1,258.4808931732205
21,21,1667.0,0.6466167477679953,56.91330114868388,Chip_1,1,91.06128183789421
22,22,1353.0,0.7670613406492527,52.124999673097115,Chip_1,1,83.39999947695539
23,23,,,,Chip_1,1,
24,24,,,,Chip_1,1,
25,25,,,,Chip_1,1,
26,26,,,,Chip_1,1,
27,27,,,,Chip_1,1,
28,28,1585.0,0.7366705949628499,57.739682397053315,Chip_1,1,92.38349183528531
29,29,,,,Chip_1,1,
30,30,1973.0,0.6645200993985855,58.161051161195786,Chip_1,1,93.05768185791327
31,31,,,,Chip_1,1,
32,32,1798.0,0.7233374933464294,58.964170508385365,Chip_1,1,94.34267281341658
33,33,1770.0,0.7492346693827593,58.592751115935755,Chip_1,1,93.74840178549721
34,34,,,,Chip_1,1,
35,35,,,,Chip_1,1,
36,36,1501.0,0.6545868729166272,50.947781713277024,Chip_1,1,81.51645074124325
37,37,,,,Chip_1,1,
38,38,1385.0,0.8073410159505391,55.02828964632729,Chip_1,1,88.04526343412367
39,39,,,,Chip_1,1,
40,40,1946.0,0.6110849299364755,56.132895518525075,Chip_1,1,89.81263282964012
41,41,,,,Chip_1,1,
42,42,,,,Chip_1,1,
43,43,1631.0,0.8585951994439077,67.79841620155722,Chip_1,1,108.47746592249155
44,44,,,,Chip_1,1,
45,45,,,,Chip_1,1,
46,46,,,,Chip_1,1,
0,0,,,,Chip_2,1,
1,1,,,,Chip_2,1,
2,2,2406.0,0.7521660081332648,69.62219482929989,Chip_2,1,111.39551172687982
3,3,,,,Chip_2,1,
