,well_index,area,eccentricity,major_axis_length,cell_number,day,major_axis_length_um
0,0,,,,100+cond,1,
1,1,2649.0,0.7629205105641955,72.74586262892481,100+cond,1,116.3933802062797
2,2,2231.0,0.6081071690331277,60.30361996353734,100+cond,1,96.48579194165976
3,3,1928.0,0.7318246609215096,61.625543341443894,100+cond,1,98.60086934631023
4,4,2483.0,0.8451355035121416,77.1621755583895,100+cond,1,123.45948089342322
5,5,1960.0,0.6080029687047657,56.3042552751995,100+cond,1,90.0868084403192
6,6,2382.0,0.241187167958916,57.324310193384584,100+cond,1,91.71889630941534
7,7,5543.0,0.9159721241956011,636.6090215209359,100+cond,1,1018.5744344334976
8,8,6556.0,0.6469179757160629,106.47727439288904,100+cond,1,170.3636390286225
9,9,2754.0,0.7572038134580097,73.5426350940615,100+cond,1,117.6682161504984
10,10,1886.0,0.7112566492248318,58.67393690442805,100+cond,1,93.87829904708488
11,11,2050.0,0.6576462513632356,59.38212484838161,100+cond,1,95.01139975741057
12,12,2918.0,0.7489868037629552,75.06824668567326,100+cond,1,120.10919469707721
13,13,2539.0,0.8117946041772117,75.2297539966072,100+cond,1,120.36760639457152
14,14,2315.0,0.5531791963884474,59.85217898824218,100+cond,1,95.76348638118749
15,15,2337.0,0.7244543770683228,66.46567902296187,100+cond,1,106.345086436739
16,16,6029.0,0.8577442568925118,156.0602596906069,100+cond,1,249.69641550497104
17,17,2353.0,0.7272870433742112,66.28437932015473,100+cond,1,106.05500691224756
18,18,,,,100+cond,1,
19,19,2272.0,0.4596215654153744,57.53164171201117,100+cond,1,92.05062673921788
20,20,2719.0,0.8182426680061097,85.34249645724596,100+cond,1,136.54799433159354
21,21,2428.0,0.7026327458638975,66.57643067292186,100+cond,1,106.52228907667498
22,22,23379.0,0.9349326412371212,317.3047596182393,100+cond,1,507.6876153891829
23,23,2165.0,0.5855289298713682,59.17833580152536,100+cond,1,94.68533728244057
24,24,2580.0,0.7244370368270647,70.27573616398216,100+cond,1,112.44117786237146
25,25,2372.0,0.7639500670918931,68.61828278354947,100+cond,1,109.78925245367917
26,26,2228.0,0.6873966330940442,62.984053933505365,100+cond,1,100.77448629360859
27,27,1979.0,0.6671515728563017,58.381898474173276,100+cond,1,93.41103755867725
28,28,1947.0,0.6757591458581889,58.13737399261365,100+cond,1,93.01979838818184
29,29,1678.0,0.5224174645259968,50.608317504294604,100+cond,1,80.97330800687138
30,30,2869.0,0.7253446246777621,73.1477015284842,100+cond,1,117.03632244557474
31,31,3702.0,0.854782461314682,100.06760316221924,100+cond,1,160.1081650595508
32,32,2614.0,0.7582514719756825,72.11295680421743,100+cond,1,115.3807308867479
33,33,,,,100+cond,1,
34,34,2037.0,0.8186244786180571,70.2550541354947,100+cond,1,112.40808661679154
35,35,1666.0,0.6236128568835468,52.210720282623996,100+cond,1,83.5371524521984
36,36,4361.0,0.5332813920703801,87.15029675928707,100+cond,1,139.44047481485933
37,37,2367.0,0.6024191592043064,63.738320620548656,100+cond,1,101.98131299287786
38,38,,,,100+cond,1,
39,39,1968.0,0.7950467370048913,64.85175162290292,100+cond,1,103.76280259664469
40,40,1973.0,0.6246306268298107,56.90963742963274,100+cond,1,91.05541988741238
41,41,3963.0,0.9181318624652004,298.4135631857448,100+cond,1,477.46170109719174
42,42,2225.0,0.20322579529257956,54.778143234727644,100+cond,1,87.64502917556423
43,43,,,,100+cond,1,
44,44,2093.0,0.5890807597751315,57.66450003313353,100+cond,1,92.26320005301365
45,45,,,,100+cond,1,
0,0,2058.0,0.7244179775056814,70.38520081567486,100,1,112.6163213050798
1,1,1617.0,0.7295407973712448,55.54030369816167,100,1,88.86448591705869
2,2,3275.0,0.7040499286738838,80.48068006670134,100,1,128.76908810672214
3,3,1608.0,0.814993535514346,59.51602908119556,100,1,95.22564652991291
4,4,1650.0,0.8549224366345995,64.61964446497772,100,1,103.39143114396437
5,5,,,,100,1,
6,6,2135.0,0.7267776738159695,63.26335705043604,100,1,101.22137128069767
7,7,1608.0,0.7175280326310381,54.63448801055255,100,1,87.41518081688409
8,8,1503.0,0.7516748040370363,54.713250561049506,100,1,87.54120089767922
9,9,2060.0,0.8416435822078966,70.47450300818578,100,1,112.75920481309726
10,10,,,,100,1,
11,11,1777.0,0.7737522728985666,60.33521514374065,100,1,96.53634422998505
12,12,1563.0,0.6789336971120526,52.131356194700814,100,1,83.41016991152131
13,13,2606.0,0.818773292817286,77.47470577139465,100,1,123.95952923423145
14,14,2606.0,0.8382843603011205,85.86513763552533,100,1,137.38422021684053
15,15,2344.0,0.9234113114029828,95.15663496674937,100,1,152.250615946799
16,16,1720.0,0.8362039500649724,66.30765482329802,100,1,106.09224771727685
17,17,,,,100,1,
18,18,4516.0,0.8526279604663747,105.94303278933636,100,1,169.5088524629382
19,19,,,,100,1,
20,20,1727.0,0.7912504954845941,60.15647407503955,100,1,96.25035852006329
21,21,1829.0,0.4127595048783684,50.98577861533452,100,1,81.57724578453524
22,22,1685.0,0.5825680783876579,51.60370418747993,100,1,82.56592669996789
23,23,3434.0,0.7941695497006558,90.60512716910429,100,1,144.96820347056686
24,24,3894.0,0.6795771942541381,85.2559036643823,100,1,136.40944586301168
25,25,1720.0,0.6616223911672704,54.54677239710278,100,1,87.27483583536446
26,26,1765.0,0.8204072007641658,62.91692340963413,100,1,100.66707745541461
27,27,10711.0,0.9325750534807404,228.11881601672889,100,1,364.99010562676625
28,28,3086.0,0.5057435262838824,68.6055165706574,100,1,109.76882651305185
29,29,1905.0,0.7328829322533291,60.67598425405272,100,1,97.08157480648435
30,30,1821.0,0.8267991835008266,66.44932065330502,100,1,106.31891304528804
31,31,1981.0,0.7740538669631366,63.93375708723093,100,1,102.2940113395695
32,32,4175.0,0.9065161657995052,120.38234708230749,100,1,192.611755331692
33,33,2428.0,0.8689839548908899,82.14825516272532,100,1,131.4372082603605
34,34,2078.0,0.7810321084494622,66.67490787369329,100,1,106.67985259790926
35,35,,,,100,1,
36,36,1597.0,0.7505638490216611,55.64479467926545,100,1,89.03167148682473
37,37,2235.0,0.7552162212989525,75.18801489773787,100,1,120.3008238363806
38,38,1665.0,0.664075938582866,55.35760893404724,100,1,88.57217429447559
39,39,2712.0,0.6464062503503625,68.4758356795113,100,1,109.56133708721809
40,40,1753.0,0.8248201854378129,65.19992771346794,100,1,104.31988434154871
41,41,,,,100,1,
42,42,1473.0,0.7952623082903242,55.821910861151295,100,1,89.31505737784208
43,43,2216.0,0.6311434631843464,61.862639152322366,100,1,98.98022264371579
44,44,1783.0,0.6969827808050018,57.43676730786976,100,1,91.89882769259162
45,45,1442.0,0.8142376415862135,65.15160130640301,100,1,104.24256209024482
46,46,1919.0,0.44547355129169897,55.5720183693426,100,1,88.91522939094817
47,47,3828.0,0.5712550941602371,82.92080907162844,100,1,132.67329451460552
48,48,1468.0,0.7770282407159962,54.844479652805816,100,1,87.75116744448931
49,49,1930.0,0.8714990099870107,80.60848914765074,100,1,128.9735826362412
50,50,,,,100,1,
51,51,1645.0,0.803754891321629,59.80486904689948,100,1,95.68779047503918
52,52,,,,100,1,
53,53,,,,100,1,
54,54,1518.0,0.6472774766931909,50.60002218473246,100,1,80.96003549557194
55,55,,,,100,1,
56,56,,,,100,1,
57,57,,,,100,1,
58,58,1775.0,0.8311828624083802,64.03928141273343,100,1,102.4628502603735
59,59,1500.0,0.7580472832687659,55.268003165924654,100,1,88.42880506547945
60,60,1939.0,0.6786817751394575,58.24316011273564,100,1,93.18905618037702
61,61,1403.0,0.6888720825274693,50.880880037072856,100,1,81.40940805931658
62,62,1459.0,0.8378542110535062,59.41257720691987,100,1,95.0601235310718
0,0,4307.0,0.9456253651816384,168.20794087948082,200+cond,1,269.13270540716934
1,1,3248.0,0.6931720513875287,76.06304396203547,200+cond,1,121.70087033925675
2,2,44398.0,0.8559676884704862,503.57132129794206,200+cond,1,805.7141140767073
3,3,2737.0,0.7264603926472716,72.62430378610067,200+cond,1,116.19888605776107
4,4,5446.0,0.6700579662306616,107.91098765099035,200+cond,1,172.65758024158458
5,5,906.0,0.9142640703126728,64.54568639791924,200+cond,1,103.27309823667079
6,6,2342.0,0.8907007834925295,87.42085307106161,200+cond,1,139.8733649136986
7,7,9567.0,0.6026195696905077,141.416243413774,200+cond,1,226.26598946203842
8,8,3153.0,0.8239961406248627,87.01439749730537,200+cond,1,139.2230359956886
9,9,2136.0,0.7418710739009906,63.95791582686051,200+cond,1,102.33266532297682
10,10,3465.0,0.5546808864345315,73.51714938253537,200+cond,1,117.62743901205658
11,11,4463.0,0.8195772204363624,123.92921821293608,200+cond,1,198.28674914069774
12,12,21287.0,0.9248508679183955,325.20582741489864,200+cond,1,520.3293238638379
13,13,1745.0,0.7061515079943906,83.1450266907578,200+cond,1,133.0320427052125
14,14,,,,200+cond,1,
15,15,1780.0,0.6691663429690397,55.400855031459045,200+cond,1,88.64136805033448
16,16,2321.0,0.14688431046522765,55.60125955374434,200+cond,1,88.96201528599096
17,17,6712.0,0.8907638629603574,151.44015392286855,200+cond,1,242.30424627658968
18,18,3956.0,0.7714773050763805,105.70619775000222,200+cond,1,169.12991640000357
19,19,3273.0,0.7871611078872662,82.95495381072838,200+cond,1,132.7279260971654
20,20,4359.0,0.5497607495084056,84.27058907242895,200+cond,1,134.83294251588632
21,21,2415.0,0.6510620571031307,71.57705577238191,200+cond,1,114.52328923581106
22,22,3288.0,0.5990229335797911,73.2851858794483,200+cond,1,117.2562974071173
23,23,1200.0,0.8585462872257056,55.13694614832315,200+cond,1,88.21911383731704
24,24,2412.0,0.5086813896507312,60.81790148944188,200+cond,1,97.30864238310701
25,25,3627.0,0.8535181798223995,103.78569786115965,200+cond,1,166.05711657785545
26,26,3670.0,0.7416681321457763,83.69947859399642,200+cond,1,133.91916575039428
27,27,1999.0,0.6984229610855434,61.441238282831755,200+cond,1,98.30598125253081
28,28,2479.0,0.7155905550809141,68.91517476502429,200+cond,1,110.26427962403886
29,29,3933.0,0.8045252689351766,94.73957245074557,200+cond,1,151.5833159211929
30,30,4693.0,0.8530160377215065,110.40438853100395,200+cond,1,176.64702164960633
31,31,2031.0,0.568132118144554,56.213009277680705,200+cond,1,89.94081484428914
32,32,1638.0,0.6331951313291291,52.2184319963186,200+cond,1,83.54949119410976
33,33,3088.0,0.8001576563453691,85.19474307080543,200+cond,1,136.3115889132887
34,34,3254.0,0.7986965402371952,87.14104764641411,200+cond,1,139.42567623426257
35,35,2374.0,0.725848570165896,68.65238845233462,200+cond,1,109.8438215237354
36,36,2705.0,0.6297918078760134,68.66948369279979,200+cond,1,109.87117390847966
37,37,3339.0,0.5966241855693691,72.95111612777819,200+cond,1,116.72178580444512
38,38,2492.0,0.528135196898383,61.609242440278045,200+cond,1,98.57478790444488
39,39,,,,200+cond,1,
0,0,4038.0,0.7315017714310591,87.9275259672809,200,1,140.68404154764946
1,1,2859.0,0.6669009927109311,70.68168321979363,200,1,113.09069315166981
2,2,2220.0,0.5894482591470289,60.656834592833434,200,1,97.0509353485335
3,3,3435.0,0.7353432988590903,80.69697121678337,200,1,129.11515394685338
4,4,2559.0,0.703361467817814,68.43203477113786,200,1,109.49125563382059
5,5,2905.0,0.7900549311486521,77.99791665186301,200,1,124.79666664298082
6,6,2435.0,0.8572879280993931,78.07475652175509,200,1,124.91961043480815
7,7,2616.0,0.8206037493344485,77.10215197822488,200,1,123.36344316515982
8,8,2027.0,0.7820472695681874,65.2264322286122,200,1,104.36229156577951
9,9,3350.0,0.7431584555841444,80.43666361171151,200,1,128.69866177873843
10,10,2532.0,0.7029956563568409,68.85200242100747,200,1,110.16320387361196
11,11,2753.0,0.571124209272262,66.00816241209608,200,1,105.61305985935374
12,12,3162.0,0.7138380802354289,76.47098109718641,200,1,122.35356975549826
13,13,1884.0,0.6877219026835195,58.73943870092713,200,1,93.98310192148341
14,14,1957.0,0.7239726568419692,60.449285860372115,200,1,96.7188573765954
15,15,1914.0,0.7152324662903509,59.35873259385903,200,1,94.97397215017446
16,16,2715.0,0.7532179454097924,73.03542278392295,200,1,116.85667645427674
17,17,3669.0,0.9058132449977712,114.87130698633273,200,1,183.79409117813236
18,18,3364.0,0.8531508074257366,91.2096749918394,200,1,145.93547998694305
19,19,2796.0,0.7686500666842128,75.08559456103055,200,1,120.13695129764888
20,20,2386.0,0.7872872766053616,71.71034437999191,200,1,114.73655100798706
21,21,3251.0,0.7366744391351835,78.78401915192471,200,1,126.05443064307954
22,22,4455.0,0.8808814577701379,129.68196466506535,200,1,207.49114346410457
23,23,3478.0,0.8864427536289181,102.88224828650858,200,1,164.61159725841375
24,24,3150.0,0.6968297632074693,75.1510856033177,200,1,120.24173696530832
25,25,2771.0,0.7632325788236799,74.50420634522084,200,1,119.20673015235334
26,26,2561.0,0.6406253302105036,65.47334160723375,200,1,104.757346571574
27,27,2961.0,0.7308003133264224,78.74306761149674,200,1,125.9889081783948
28,28,1888.0,0.8105670466875776,64.8750845556924,200,1,103.80013528910784
29,29,3273.0,0.7811774714949374,82.09391050363497,200,1,131.35025680581597
30,30,1520.0,0.7980769935408714,57.29548135215351,200,1,91.67277016344562
31,31,2593.0,0.8094613343614151,78.32732708701752,200,1,125.32372333922804
32,32,2731.0,0.9272613355774209,99.50412781691813,200,1,159.20660450706902
33,33,2690.0,0.7349651001037081,73.08882844122974,200,1,116.94212550596758
34,34,3448.0,0.8651261815510547,95.82550899164602,200,1,153.32081438663363
35,35,1941.0,0.6978000453956222,60.094736060350854,200,1,96.15157769656138
36,36,1348.0,0.6948472825026158,53.373292938492106,200,1,85.39726870158738
37,37,1435.0,0.7486677532037544,52.92015490082803,200,1,84.67224784132486
38,38,3084.0,0.7214690431347994,75.48625738683869,200,1,120.7780118189419
39,39,2090.0,0.5399654309734762,57.1410232611534,200,1,91.42563721784545
40,40,3686.0,0.8043841177527625,89.86286652011972,200,1,143.78058643219157
41,41,2439.0,0.772181712025113,70.23762960879574,200,1,112.3802073740732
42,42,2682.0,0.6978721699037765,69.71076092853718,200,1,111.5372174856595
43,43,2482.0,0.7994184511118241,76.13959536170353,200,1,121.82335257872565
44,44,2842.0,0.7762414730143465,75.9732223185554,200,1,121.55715570968864
45,45,2739.0,0.7414497884097145,74.03300640355644,200,1,118.45281024569032
46,46,3139.0,0.6958712343277504,76.05764946574351,200,1,121.69223914518962
47,47,3538.0,0.8975075626447504,103.4545770646828,200,1,165.5273233034925
48,48,3025.0,0.5063796235764664,68.24607078227041,200,1,109.19371325163266
49,49,1667.0,0.7512903649941316,57.40090551549985,200,1,91.84144882479977
50,50,3296.0,0.7897487521309527,83.57710110882859,200,1,133.72336177412575
51,51,3793.0,0.8326249306177856,93.7866710540222,200,1,150.05867368643553
52,52,,,,200,1,
53,53,,,,200,1,
54,54,3476.0,0.7714142407106513,84.63918483324055,200,1,135.4226957331849
55,55,3988.0,0.7736575854583092,91.37281761782762,200,1,146.1965081885242
56,56,1655.0,0.8354560241804642,62.82769759784314,200,1,100.52431615654903
57,57,2613.0,0.8645246272053768,83.06768429101623,200,1,132.90829486562598
58,58,3200.0,0.8620954661524703,97.89429494347229,200,1,156.63087190955568
59,59,2360.0,0.8098230437100526,72.39806087747272,200,1,115.83689740395636
60,60,3016.0,0.7970254402786775,80.1972457161671,200,1,128.31559314586738
0,0,2718.0,0.9287372614054376,104.97894840832805,300+cond,1,167.9663174533249
1,1,,,,300+cond,1,
2,2,3697.0,0.5217982010216544,74.74243749997201,300+cond,1,119.58789999995523
3,3,1520.0,0.8032693733191035,57.484992824779006,300+cond,1,91.97598851964642
4,4,,,,300+cond,1,
5,5,2297.0,0.8866117641418165,152.4531982018996,300+cond,1,243.92511712303937
6,6,3401.0,0.7815668533407877,83.8706890421778,300+cond,1,134.1931024674845
7,7,4533.0,0.8122345030824553,100.03607510131096,300+cond,1,160.05772016209755
8,8,,,,300+cond,1,
9,9,3434.0,0.7501976932067469,83.19297405612697,300+cond,1,133.10875848980317
10,10,6290.0,0.9497719000513368,205.2589235007455,300+cond,1,328.41427760119285
11,11,7459.0,0.8957148913511719,171.94477622773564,300+cond,1,275.11164196437704
12,12,1429.0,0.8095972260067285,55.78396041704505,300+cond,1,89.25433666727209
13,13,,,,300+cond,1,
14,14,1119.0,0.9464578755448944,71.45204387416513,300+cond,1,114.3232701986642
15,15,,,,300+cond,1,
16,16,4046.0,0.8859453014267801,106.57465725726342,300+cond,1,170.5194516116215
17,17,22078.0,0.6313355428325007,212.59534130457698,300+cond,1,340.1525460873232
